iter	Passed	Remaining
0	0	23
1	0	23
2	0	22
3	0	20
4	1	20
5	1	21
6	1	21
7	1	21
8	2	21
9	2	20
10	2	20
11	2	20
12	2	19
13	3	19
14	3	19
15	3	18
16	3	18
17	4	18
18	4	17
19	4	17
20	4	17
21	4	17
22	5	16
23	5	16
24	5	16
25	5	16
26	5	15
27	6	15
28	6	15
29	6	15
30	6	15
31	7	14
32	7	14
33	7	14
34	7	14
35	7	14
36	8	13
37	8	13
38	8	13
39	8	13
40	9	13
41	9	12
42	9	12
43	9	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	11	10
52	12	10
53	12	10
54	12	10
55	12	9
56	12	9
57	13	9
58	13	9
59	13	8
60	13	8
61	13	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	6
73	16	5
74	16	5
75	16	5
76	17	5
77	17	4
78	17	4
79	17	4
80	18	4
81	18	4
82	18	3
83	18	3
84	18	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	1
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	21	0
97	21	0
98	21	0
99	22	0
