iter	Passed	Remaining
0	0	333
1	0	294
2	0	272
3	1	262
4	1	251
5	1	246
6	1	243
7	1	239
8	2	235
9	2	234
10	2	232
11	2	229
12	2	227
13	3	227
14	3	225
15	3	224
16	3	223
17	4	223
18	4	223
19	4	222
20	4	222
21	4	220
22	5	220
23	5	219
24	5	220
25	5	219
26	6	220
27	6	219
28	6	218
29	6	218
30	6	217
31	7	217
32	7	217
33	7	216
34	7	216
35	8	216
36	8	215
37	8	215
38	8	214
39	8	214
40	9	213
41	9	213
42	9	213
43	9	212
44	9	211
45	10	211
46	10	211
47	10	211
48	10	211
49	11	211
50	11	211
51	11	211
52	11	210
53	12	210
54	12	210
55	12	210
56	12	211
57	12	210
58	13	210
59	13	210
60	13	210
61	13	209
62	14	209
63	14	209
64	14	208
65	14	208
66	14	208
67	15	207
68	15	207
69	15	207
70	15	206
71	16	206
72	16	206
73	16	206
74	16	206
75	16	206
76	17	205
77	17	205
78	17	204
79	17	204
80	17	203
81	18	203
82	18	201
83	18	201
84	18	200
85	18	200
86	19	200
87	19	200
88	19	199
89	19	199
90	19	199
91	20	198
92	20	198
93	20	198
94	20	198
95	21	198
96	21	197
97	21	197
98	21	197
99	21	196
100	22	196
101	22	195
102	22	195
103	22	195
104	22	195
105	23	194
106	23	194
107	23	194
108	23	193
109	23	193
110	24	193
111	24	193
112	24	192
113	24	192
114	24	192
115	25	191
116	25	191
117	25	191
118	25	190
119	25	190
120	26	190
121	26	189
122	26	189
123	26	189
124	26	188
125	27	188
126	27	188
127	27	188
128	27	188
129	28	188
130	28	188
131	28	188
132	28	187
133	29	187
134	29	187
135	29	186
136	29	186
137	29	186
138	30	186
139	30	185
140	30	186
141	30	185
142	30	184
143	31	184
144	31	184
145	31	184
146	31	184
147	32	184
148	32	183
149	32	183
150	32	183
151	32	183
152	33	183
153	33	182
154	33	182
155	33	182
156	33	182
157	34	181
158	34	181
159	34	181
160	34	180
161	34	180
162	35	180
163	35	180
164	35	180
165	35	179
166	36	179
167	36	179
168	36	179
169	36	178
170	36	178
171	37	178
172	37	178
173	37	178
174	37	177
